R0 (INIT)	0x00160040
R0	0x00143000 #PL: SYSREF_FPGA --> 8MHz 
R1	0x00143001 #DAC: SYSREF_RFSOC --> 8MHz
R2	0x00140302 #PL: FPGA_REFCLK_OUT --> 128MHz 
R3	0xC0140023 #SYNC --> 122.88MHz
R4	0x40140024 #REFIN_2594 --> 122.88MHz 
R5	0x80141E05 #SMA: REF_OUT --> 12.8MHz
R6	0x01100006
R7	0x01100007
R8	0x06010008
R9	0x55555549
R10	0x9102410A
R11	0x0401100B
R12	0x1B0C006C
R13	0x2302886D
R14	0x0200000E
R15	0x8000800F
R16	0xC1550410
R24	0x00000058
R25	0x02C9C419
R26	0x8FA8001A
R27	0x10001E1B
R28	0x0021201C
R29	0x0180033D
R30	0x0200033E
R31	0x003F001F
